Feature,Importance
C_C_H_sum,0.009361375586076444
C_C_volume_mean,0.006135298399321753
C_N_kappa_min_sum,0.005731548709156401
C_C_kappa_min_sum,0.005290451958819316
C_O_volume_mean,0.004767063006479633
C_O_volume_max,0.0042029273833002695
H_C_volume_mean,0.004173348620994644
H_O_kappa_max_sum,0.004065476131681316
C_N_surface_area_median,0.0037886304263237444
H_N_volume_median,0.0037820163981950494
N_N_volume_sum,0.0036878612714242387
N_N_surface_area_sum,0.0036543791371645455
H_C_surface_area_max,0.003589989773157093
C_N_volume_min,0.003561200440754959
C_N_volume_sum,0.0034303939986033514
C_C_volume_min,0.00335983857805836
C_S_kappa_max_sum,0.00330511782868507
H_C_volume_max,0.0032776803889703185
C_N_surface_area_min,0.003179656380628058
H_N_volume_min,0.00311690577038946
C_O_surface_area_median,0.0030593213848717905
C_C_volume_max,0.003040614344414366
H_C_kappa_min_sum,0.003038888848129356
H_O_volume_median,0.0029869915091143427
N_O_surface_area_max,0.002960482499073765
C_C_volume_median,0.0029388164172971993
C_O_volume_median,0.002832979708551095
H_C_surface_area_median,0.0028169196445065477
C_N_kappa_max_sum,0.0027885863797997962
C_O_kappa_max_sum,0.0027684123445517123
N_C_volume_sum,0.002760781603120563
H_N_kappa_max_sum,0.0027578094140760785
C_N_volume_mean,0.0027318860049031315
C_O_surface_area_min,0.0026438681935175143
H_C_volume_sum,0.0026127436864359734
C_O_H_sum,0.0025775431989588306
N_O_volume_std,0.0025612333523394744
H_O_volume_max,0.0025316162683076127
H_C_surface_area_sum,0.0025279362706203826
C_N_surface_area_std,0.002525889736996984
N_N_surface_area_median,0.0024569117999427184
N_C_surface_area_mean,0.0024549589900242108
H_C_volume_min,0.0024455918375129925
H_C_surface_area_min,0.002406891469768518
N_O_kappa_max_mean,0.0023977040883438744
C_N_volume_std,0.0023643385786229656
C_N_volume_max,0.0023060976455654175
N_O_volume_mean,0.002276305931273573
C_N_H_sum,0.002250869850756923
C_N_kappa_max_median,0.002248901466082828
N_O_surface_area_min,0.0022482087293015257
C_O_kappa_min_sum,0.002221494994194334
O_N_kappa_max_sum,0.0022106029848303265
H_N_surface_area_max,0.002181686765336916
H_C_surface_area_mean,0.0021745675135762025
S_O_K_min,0.0021676066767833987
N_O_surface_area_std,0.0021652575360464727
C_C_kappa_max_sum,0.0021637699289960926
N_O_volume_median,0.0021624958778358
H_N_kappa_min_max,0.002153980364204293
H_O_surface_area_max,0.002153190544898759
C_O_H_max,0.0021446528698409336
N_C_surface_area_sum,0.002133420088624349
H_C_kappa_min_std,0.0021224896666074936
H_C_volume_median,0.002121047345536482
C_O_volume_sum,0.0021078234803709483
C_N_kappa_min_median,0.0021058140985076627
C_O_volume_min,0.0020920401748811307
C_C_surface_area_min,0.0020588453278145295
H_C_H_median,0.002053149716729137
H_N_surface_area_median,0.0020338720869286235
C_N_kappa_min_max,0.0020290927501652157
N_N_volume_mean,0.002027984483601626
C_N_H_min,0.0020188703977745805
C_C_surface_area_median,0.0020018733374579357
O_C_kappa_max_max,0.0019942360070114235
C_N_kappa_max_min,0.0019798409309849173
H_N_volume_std,0.001977830883638632
O_C_H_median,0.001973937979856914
C_N_H_median,0.0019559865673760336
C_O_H_min,0.00194322776272956
H_O_kappa_min_median,0.001934350668676609
O_C_kappa_max_min,0.0019190577816442216
O_C_kappa_min_max,0.0019185497002294604
N_C_K_median,0.0019173266434478755
C_C_surface_area_max,0.0019109748094620377
H_N_surface_area_mean,0.0018809004443954293
C_C_surface_area_std,0.0018758267257926557
C_N_kappa_min_min,0.0018755963545882557
C_C_H_min,0.0018725194976878864
N_C_volume_median,0.001869998886159778
C_O_kappa_max_median,0.0018546386770507933
H_O_kappa_max_max,0.0018505710046465133
O_O_kappa_min_median,0.0018494871815954075
H_S_kappa_max_sum,0.0018489826416110268
C_N_H_max,0.0018463052721089466
C_N_surface_area_max,0.0018430495698618858
H_N_K_median,0.0018340016573952366
C_C_K_median,0.0018303835627105451
C_C_surface_area_sum,0.001827668931079254
H_O_surface_area_median,0.001822129433783241
C_C_H_max,0.0018147517532697403
O_O_H_min,0.0018127143170188875
N_O_kappa_max_max,0.0018106059663897556
N_C_K_min,0.0018030019817432497
H_C_surface_area_std,0.0017968425107046501
O_C_K_max,0.0017946683939429257
C_O_kappa_min_max,0.0017940504007063003
C_C_kappa_max_std,0.0017817058868026456
S_O_H_min,0.0017794293246944635
H_C_kappa_max_std,0.0017665228261234563
H_O_volume_std,0.001764551726608785
H_O_volume_mean,0.0017620601287977398
O_C_surface_area_min,0.0017578571616904894
C_C_kappa_min_median,0.0017576009964141999
N_N_surface_area_mean,0.0017572797604704657
H_O_kappa_min_std,0.0017564028452737252
O_C_kappa_max_sum,0.0017529339541852594
O_N_kappa_max_mean,0.001742087948957508
C_O_kappa_max_min,0.0017396682426900542
H_O_kappa_max_std,0.0017386890981692406
O_N_surface_area_mean,0.0017361593658322776
C_C_kappa_min_max,0.001729758995492314
H_O_K_mean,0.0017271813265710236
C_C_H_median,0.0017260516958722166
C_N_kappa_max_mean,0.001725640160466698
N_O_kappa_max_sum,0.0017233759790561407
N_O_K_max,0.0017092954925642466
C_O_surface_area_sum,0.0017039645354282652
O_O_surface_area_min,0.001696785915063426
C_O_surface_area_max,0.0016956322251112496
C_O_kappa_max_mean,0.001692175595729408
N_O_K_median,0.00168684429807991
O_C_surface_area_std,0.001685484671608705
C_O_kappa_min_median,0.001682061164295763
O_O_kappa_max_median,0.0016808347600001325
C_C_kappa_max_min,0.0016794471533973722
H_C_H_sum,0.0016765410825134199
C_O_kappa_min_mean,0.0016703793391074431
N_C_H_max,0.0016697988079196514
C_C_kappa_min_min,0.001669583530215861
C_O_kappa_min_min,0.0016634693121995085
N_N_volume_max,0.0016627430106141124
N_O_H_max,0.0016604177749140368
C_C_K_std,0.0016569270199969456
O_O_surface_area_median,0.0016562681498524122
C_C_volume_std,0.0016545570097367557
