Feature,Importance,Type
local_C_C_surface_area_sum,0.005698713800771963,Local
local_C_C_kappa_min_sum,0.004717580343370147,Local
local_C_S_surface_area_sum,0.004505642800240099,Local
global_H_C_volume_max,0.0038667833765590773,Global
local_C_C_H_sum,0.0038451382328238736,Local
global_H_O_volume_min,0.0037971414179966707,Global
local_C_N_kappa_max_sum,0.0037327416707074366,Local
local_C_N_surface_area_sum,0.0036602838748096803,Local
local_H_C_volume_sum,0.003626943761585515,Local
global_H_O_volume_sum,0.003453217408052796,Global
local_C_O_kappa_max_sum,0.003360924322690264,Local
global_H_O_volume_max,0.003299707347201703,Global
local_C_C_volume_sum,0.0032182095619429883,Local
local_H_C_kappa_max_sum,0.003152385590132833,Local
local_C_O_surface_area_sum,0.003066014522114856,Local
global_C_C_H_sum,0.0030334305805516594,Global
local_C_O_volume_sum,0.002981510006552621,Local
local_H_C_surface_area_sum,0.0029246332298488976,Local
global_H_C_volume_mean,0.0028172634734115526,Global
global_C_O_volume_max,0.002814029405041402,Global
local_C_N_volume_sum,0.002791853121851419,Local
global_C_C_kappa_min_sum,0.0026169040884957365,Global
global_C_N_volume_sum,0.00259411269130109,Global
global_H_O_kappa_max_sum,0.0025605309121236085,Global
global_N_C_volume_max,0.0025180554642584016,Global
global_N_C_volume_sum,0.0025031772001995575,Global
global_C_C_volume_min,0.0024991184514120005,Global
global_C_O_volume_sum,0.0024843899496981565,Global
local_H_O_volume_sum,0.002447381568376018,Local
global_C_N_volume_median,0.00236953074231682,Global
local_H_C_kappa_min_sum,0.002368660755204745,Local
global_H_C_volume_min,0.002283940490266654,Global
local_C_N_K_sum,0.0020319685226235697,Local
global_H_N_volume_min,0.002028705682434044,Global
local_C_S_volume_sum,0.0020199419113847137,Local
global_C_N_surface_area_max,0.001958403826285299,Global
local_C_C_K_max,0.0018999457816330934,Local
global_N_N_surface_area_median,0.0018765734993395347,Global
global_C_N_surface_area_median,0.0018401432803720472,Global
global_C_C_volume_max,0.001825538294368816,Global
global_H_C_surface_area_mean,0.0017731723911727068,Global
local_C_C_kappa_max_sum,0.0017517360296750277,Local
global_C_N_surface_area_min,0.0017444573885766427,Global
global_N_N_surface_area_mean,0.0017430138567763494,Global
global_H_O_volume_mean,0.0017250816081443882,Global
global_C_N_volume_mean,0.0017221858364069775,Global
global_H_C_surface_area_sum,0.0017003842854573213,Global
global_N_N_surface_area_sum,0.0016773119254005497,Global
global_C_N_kappa_min_sum,0.0016632157541579527,Global
global_C_O_volume_mean,0.0016513595216905291,Global
global_N_N_volume_max,0.0016147924646538433,Global
global_H_N_volume_sum,0.0016084104409158336,Global
local_C_O_volume_min,0.0016050270670798065,Local
global_H_C_volume_median,0.0015855827295644927,Global
global_N_N_volume_std,0.0015214251547800135,Global
global_N_N_volume_median,0.0015186013080338385,Global
global_C_N_surface_area_std,0.001484196531331506,Global
global_C_O_volume_min,0.001469046609404928,Global
local_C_C_kappa_max_min,0.001465717357269397,Local
local_H_O_H_sum,0.0014603821903961167,Local
global_H_N_volume_max,0.0014564226614352947,Global
global_C_N_volume_min,0.001446811747704858,Global
global_H_C_surface_area_median,0.001425567841394466,Global
global_N_C_surface_area_max,0.0014212235950229427,Global
global_C_N_volume_max,0.001419183984438861,Global
global_C_O_kappa_min_sum,0.0014107038060738684,Global
local_H_N_kappa_max_sum,0.001409691956094837,Local
global_N_O_kappa_max_max,0.0014030534473199524,Global
local_C_O_kappa_min_mean,0.0013945769617387158,Local
local_N_C_H_min,0.001388419066282343,Local
local_C_N_kappa_max_median,0.0013801183187711157,Local
global_N_C_volume_mean,0.001378674081647199,Global
global_N_C_surface_area_sum,0.0013721024929815875,Global
global_O_C_kappa_max_mean,0.001362754630368664,Global
local_H_N_surface_area_sum,0.0013218062995861944,Local
global_C_C_volume_std,0.001311985472822855,Global
local_C_C_K_sum,0.0013109836910610488,Local
local_N_C_kappa_max_min,0.0013034852072829953,Local
local_C_O_kappa_min_sum,0.001298503172759173,Local
global_C_C_volume_sum,0.001297074536640921,Global
global_C_O_surface_area_std,0.001285700986787795,Global
local_C_N_H_min,0.0012803789471036251,Local
local_C_C_surface_area_max,0.0012779958197264942,Local
global_O_N_kappa_max_sum,0.0012774427299658002,Global
local_O_N_kappa_min_sum,0.0012757986610077146,Local
global_N_C_volume_min,0.0012696806126068696,Global
global_H_N_volume_median,0.0012684294360937607,Global
global_C_C_K_max,0.0012433770833427,Global
local_C_C_H_min,0.0012376782675545268,Local
