Feature,Importance
local_C_C_kappa_min_sum,0.00867186647714484
local_C_O_surface_area_sum,0.008312617322263375
local_C_S_surface_area_sum,0.006541141507486185
local_C_N_surface_area_sum,0.006348769069024008
local_C_N_volume_sum,0.006079283617335771
local_H_C_kappa_min_sum,0.005669223743320958
local_C_O_kappa_max_sum,0.005535818853583742
local_H_C_surface_area_sum,0.0048701710468534954
local_C_C_kappa_max_sum,0.0047511192753946375
local_C_O_volume_sum,0.004367907983390122
local_C_C_H_sum,0.0043310880081382855
local_C_S_volume_sum,0.004316913341507334
local_H_N_volume_sum,0.0039027205466944754
local_C_C_volume_sum,0.0038892746001092703
local_C_C_surface_area_sum,0.003856052572828241
local_H_S_volume_sum,0.003817274105934369
local_C_N_kappa_min_sum,0.003733376911850547
local_C_C_K_max,0.0035356491166132504
local_H_N_surface_area_sum,0.003466781147810415
local_C_N_K_sum,0.003457617754111583
local_H_O_kappa_max_sum,0.0034348534103507597
local_C_C_kappa_max_min,0.003390077996670392
local_H_N_kappa_max_sum,0.003375768377489058
local_H_C_volume_sum,0.0032857912551691516
local_C_C_K_sum,0.003196188118186862
local_C_C_surface_area_max,0.0029523397003851496
local_C_O_kappa_min_sum,0.002903642102719813
local_H_O_H_sum,0.002847459411439901
local_H_S_surface_area_sum,0.0028310677669589695
local_N_C_K_max,0.002802526450088534
local_C_N_kappa_min_min,0.0028015442824682727
local_H_C_kappa_max_sum,0.0027830724162663063
local_C_C_kappa_max_max,0.0027663495533210994
local_N_C_kappa_max_min,0.002695693729163259
local_C_C_H_min,0.0026698777989929146
local_N_C_surface_area_max,0.002657678894802119
local_C_N_kappa_max_median,0.0026523700067948843
local_C_O_K_sum,0.0026007391793350138
local_N_N_kappa_min_max,0.0025540320938783408
local_O_C_K_sum,0.002545046039443291
local_H_O_kappa_min_sum,0.002537949817520006
local_C_N_kappa_min_max,0.0024532239047153535
local_N_O_surface_area_std,0.0024214919996184176
local_H_O_surface_area_sum,0.002418374651589077
local_C_N_kappa_max_sum,0.002345635784311136
local_H_N_kappa_min_median,0.002343398113612785
local_N_N_H_max,0.002342825852039512
local_N_C_H_min,0.0023363270421959195
local_O_C_kappa_min_sum,0.002298303083225138
local_N_C_kappa_min_std,0.0022802603674760033
local_H_C_kappa_max_min,0.0022585942975215934
local_H_O_volume_max,0.0022543794489095887
local_H_O_volume_sum,0.0022275942197163136
local_C_C_kappa_min_max,0.0022274780650507284
local_H_N_H_max,0.0022173699866481814
local_O_C_H_max,0.002211740668942052
local_H_O_kappa_max_max,0.002188098972836507
local_N_O_H_median,0.0021796465572730566
local_N_O_kappa_min_std,0.002177865383895158
local_H_C_surface_area_mean,0.002175352220972305
local_C_S_kappa_max_sum,0.0021658272618029655
local_N_N_kappa_max_max,0.0021559587878159014
local_C_N_kappa_max_mean,0.0021448582771480484
local_O_C_volume_median,0.0021402821694838626
local_C_C_kappa_max_median,0.0021296072678217144
local_H_C_surface_area_max,0.002124707565113385
local_O_O_surface_area_max,0.0021156411440199133
local_H_O_surface_area_max,0.002103410493325537
local_C_O_kappa_max_mean,0.0020902612362455448
local_H_N_kappa_min_mean,0.0020858716914165763
local_C_N_surface_area_median,0.0020841534703532364
local_H_C_surface_area_median,0.0020651425548003145
local_C_C_kappa_max_mean,0.0020610519208770924
local_C_O_K_max,0.0020609188780088645
local_C_N_kappa_min_median,0.0020433731502888745
local_H_O_kappa_min_max,0.002037488399365622
local_N_C_surface_area_mean,0.0020127222230329825
local_O_O_kappa_min_max,0.0020118040530852934
local_H_O_K_max,0.0020047106199549297
local_H_O_kappa_min_median,0.0019855041769535134
local_N_C_K_std,0.001979823127653951
local_C_O_kappa_max_std,0.0019710613003316594
local_O_C_kappa_min_max,0.0019539781011579365
local_C_N_kappa_min_mean,0.0019472265320906693
local_C_N_kappa_max_std,0.0019394985949253817
local_N_C_volume_sum,0.001938052257570086
local_C_O_kappa_min_mean,0.001937883253497923
local_C_O_kappa_max_min,0.001934138390684338
local_O_N_kappa_max_max,0.0019234816381138906
local_O_C_surface_area_max,0.0019210777873106958
local_N_N_K_max,0.0019072914281147726
local_H_N_K_median,0.0019070744686998696
local_N_C_H_sum,0.0019058353434704052
local_H_O_kappa_max_median,0.0019040784728231736
local_N_O_volume_sum,0.001903472466707363
local_O_C_surface_area_mean,0.0018987177818618694
local_C_O_H_max,0.0018967401826329299
local_O_C_K_min,0.0018863807401546045
local_C_C_volume_max,0.00188081510210799
local_H_C_kappa_max_median,0.001876702875131991
local_O_C_H_mean,0.0018708677426652054
local_C_C_K_median,0.0018699648364428674
local_C_C_volume_median,0.0018695112044893414
local_O_N_surface_area_mean,0.0018507944472043508
local_C_O_K_mean,0.0018441723389465208
local_C_O_K_median,0.0018439955797686755
local_H_C_K_sum,0.001841185985347585
local_N_O_kappa_max_std,0.0018411814461534158
local_H_C_kappa_min_median,0.001837931570679474
local_H_C_volume_min,0.0018312471836302614
local_C_N_surface_area_mean,0.0018285283060220517
local_H_O_kappa_max_min,0.0018237825836243955
local_C_O_H_min,0.0018226297841966864
local_N_O_H_sum,0.0018215419555271466
local_C_N_volume_std,0.0018214066057799425
local_O_O_surface_area_sum,0.0018145135504440155
local_N_N_H_median,0.0018138416505973202
local_O_O_H_sum,0.0018129546623144022
local_N_C_kappa_min_sum,0.0018070514250590152
local_H_O_kappa_max_std,0.001803356159604239
local_C_N_H_median,0.0018014894161168175
local_H_N_kappa_min_sum,0.0017978451041356098
local_C_N_surface_area_min,0.0017969112294404562
local_O_N_kappa_min_max,0.001791972289564512
local_C_O_H_std,0.0017882105354258078
local_C_N_K_median,0.0017873733892136351
local_N_O_volume_median,0.0017865977204419702
local_C_O_volume_max,0.001786338106858334
local_H_C_volume_median,0.0017799754625122952
local_H_C_volume_mean,0.001778319553424628
local_C_N_kappa_max_max,0.001777569575554924
local_H_O_H_median,0.0017712655518368177
local_C_C_H_max,0.001767384339451323
local_C_N_H_max,0.0017643275133648437
local_H_C_H_sum,0.0017622490165541949
local_N_O_K_std,0.0017611812873125697
local_H_O_H_min,0.0017600561877290778
local_H_N_kappa_max_min,0.0017541228105910165
local_H_N_kappa_max_max,0.0017538534497361013
local_O_N_kappa_min_sum,0.001753546367139569
local_N_C_H_mean,0.001752788362162934
local_C_C_K_mean,0.0017504138843090272
local_C_O_surface_area_std,0.001746844227268986
local_N_C_H_std,0.0017425798576684915
local_N_O_K_median,0.0017394733664872512
local_C_C_kappa_min_mean,0.0017386602291305244
local_O_C_surface_area_median,0.001738229195866359
local_N_O_K_sum,0.0017380542036917114
local_H_C_K_max,0.0017374296619200697
local_C_O_volume_std,0.0017373016996808186
local_O_N_H_sum,0.0017337798539500784
local_C_O_H_sum,0.001730412704886632
local_H_C_kappa_min_mean,0.0017282034564311028
local_C_O_kappa_min_max,0.0017247059656913034
local_N_C_H_median,0.0017227050841055196
local_O_N_H_max,0.0017216153148952326
local_H_O_volume_std,0.0017201046343379215
local_H_N_kappa_max_median,0.0017018187657405143
local_H_C_H_mean,0.0017015685248822827
local_H_N_H_median,0.0016999642564091667
local_N_O_K_max,0.0016997521545417033
local_C_N_H_std,0.0016939779003998633
local_O_O_volume_sum,0.0016898955656172595
local_C_O_surface_area_median,0.001688016911899918
local_N_C_K_min,0.0016865143270769995
local_N_O_kappa_max_mean,0.0016777819311013578
local_O_N_surface_area_std,0.001676927562124833
local_C_N_K_mean,0.0016724482195005442
local_O_C_surface_area_min,0.0016716224413010068
local_C_O_H_mean,0.0016700702167661969
local_N_O_kappa_max_sum,0.0016680470904694622
local_C_O_surface_area_max,0.001667957481631848
local_N_N_surface_area_sum,0.001665868982378453
local_H_C_volume_std,0.0016649208563475604
local_H_N_kappa_max_mean,0.001664874621752152
local_H_C_kappa_min_max,0.0016577641285301756
local_C_N_surface_area_std,0.0016555338500297055
local_N_C_volume_max,0.0016546239533479984
local_O_O_volume_std,0.0016516991493139216
local_C_C_H_median,0.00165078009879971
local_C_C_volume_mean,0.0016507066668534937
local_H_O_K_std,0.0016475081400013625
local_H_O_kappa_min_mean,0.0016412875073050076
local_C_O_volume_min,0.001639890980817827
local_O_N_surface_area_median,0.0016364547752943004
local_C_C_kappa_max_std,0.0016342502183725378
local_O_O_H_median,0.0016266392919593508
local_C_C_H_mean,0.0016243274024748211
local_H_O_K_sum,0.0016241037368765884
local_H_O_kappa_min_min,0.0016238392497478038
local_C_O_surface_area_mean,0.001623401732843451
local_N_C_volume_median,0.0016219679738929034
local_H_O_H_max,0.0016198959171615083
local_N_C_surface_area_median,0.0016179421228738708
local_S_C_K_max,0.0016173540357144205
local_H_C_H_max,0.0016154288459062013
local_N_C_kappa_max_std,0.0016124704499790236
local_N_C_H_max,0.001610718460042822
local_C_N_kappa_max_min,0.001608985745786273
local_H_O_surface_area_std,0.0016087453570800137
local_C_N_H_mean,0.0016009933599183757
local_H_N_H_min,0.00159486203125279
local_H_O_volume_mean,0.0015932751668044295
local_C_N_volume_max,0.0015914092519848143
local_H_N_K_std,0.001590877440573825
local_H_C_H_median,0.0015905108140786286
local_O_N_kappa_max_min,0.0015899608619426772
local_H_C_kappa_max_std,0.0015865018985720615
local_O_O_kappa_max_mean,0.0015853735248092498
local_H_N_H_mean,0.0015837754022212875
local_O_C_surface_area_sum,0.0015821875078851904
local_H_C_K_median,0.0015817648664382333
local_O_C_kappa_min_min,0.0015799024878230942
local_O_N_kappa_min_mean,0.0015783370220371067
local_N_C_K_sum,0.001576932923066415
local_H_O_K_mean,0.0015756941436054885
local_C_N_K_std,0.001575438945243253
local_N_C_kappa_min_median,0.0015728025186731468
local_H_N_kappa_min_max,0.0015683097423528564
local_N_N_volume_sum,0.001568080378828746
local_C_C_surface_area_median,0.0015665456198929305
local_C_C_kappa_min_std,0.0015592376393209887
local_C_S_H_sum,0.0015588258377066137
local_N_O_kappa_min_max,0.001556185013668411
local_N_N_K_median,0.0015554052900250506
local_O_N_kappa_max_sum,0.0015541416699319755
local_H_C_K_std,0.0015525331285225752
local_O_N_H_mean,0.0015491998244303448
local_C_O_H_median,0.001544835117361004
local_O_C_K_max,0.001541418737402473
local_N_N_H_mean,0.00153533779529834
